n,avgIfdsBrightnessValue,make,model,modelName,makeName
5#3495,3.25109375,5,3495,SGH-I897,SAMSUNG
24#3642,3.26,24,3642,FinePixJV150,FUJIFILM
39#1480,3.2734375,39,1480,HPPhotoSmartR725(V01.00),Hewlett-Packard
5#4102,3.28337546,5,4102,SGH-M919,SAMSUNG
7#915,3.294108527,7,915,DSLR-A700,Sony
5#26,3.312654155,5,26,GT-I9500,SAMSUNG
19#3932,3.31640625,19,3932,MilestoneX,Motorola
7#417,3.3296875,7,417,ILCE-5000,Sony
154#3921,3.332238806,154,3921,SIGMADP2Merrill,SIGMA
7#338,3.33610687,7,338,DSLR-A100,Sony
24#4046,3.34,24,4046,FinePixAX550,FUJIFILM
19#3885,3.349609375,19,3885,MB525047c0001ffd800000a3aac9,Motorola
24#2253,3.350980392,24,2253,FinePixM603,FUJIFILM
39#2307,3.363715278,39,2307,HPPhotoSmartC945(V01.54),Hewlett-Packard
7#409,3.366134454,7,409,DSLR-A500,Sony
24#2956,3.366136364,24,2956,FinePixS9100,FUJIFILM
15#1736,3.366152956,15,1736,HTC6525LVW,HTC
7#2074,3.383731343,7,2074,SLT-A33,Sony
24#3822,3.385,24,3822,FinePixJ40,FUJIFILM
178#2912,3.4,178,2912,Vivicam3780s,VivitarCorporation
4#2590,3.418100858,4,2590,SV-AS10,Panasonic
24#1755,3.424933333,24,1755,FinePixS2Pro,FUJIFILM
19#3693,3.43359375,19,3693,DROID26eea0001fff80000015d67,Motorola
41#1287,3.433839286,41,1287,DYNAX5D,KONICAMINOLTA
24#682,3.43955956,24,682,X-E1,FUJIFILM
24#3783,3.46,24,3783,FinePixAV200,FUJIFILM
5#701,3.463076923,5,701,SM-N910C,SAMSUNG
7#2276,3.472990654,7,2276,SLT-A35,Sony
15#1286,3.483265255,15,1286,HTCOne801e,HTC
15#1325,3.497231912,15,1325,HTCOne_M8,HTC
24#3663,3.505,24,3663,FinePixAV100,FUJIFILM
7#2243,3.508541667,7,2243,DSLR-A390,Sony
154#1751,3.515621662,154,1751,SIGMAdp2Quattro,SIGMA
19#4261,3.5234375,19,4261,MotoroiX123c0002ffd80000015f,Motorola
19#667,3.528397932,19,667,Droid,Motorola
110#2812,3.533333333,110,2812,DC-M42,Gateway
24#2732,3.544166667,24,2732,FinePixS20Pro,FUJIFILM
7#738,3.550925926,7,738,DSLR-A900,Sony
24#2614,3.551666667,24,2614,FinePix30i,FUJIFILM
24#1483,3.552112676,24,1483,FinePixF460,FUJIFILM
51#1191,3.563636364,51,1191,DS5MP,DigitalCamera
95#2404,3.575,95,2404,DCC500,BenQ
27#2360,3.587574217,27,2360,272,Hipstamatic
24#2642,3.591688312,24,2642,FinePixE510,FUJIFILM
24#2665,3.593076923,24,2665,FinePixF401,FUJIFILM
7#683,3.5975,7,683,DSLR-A230,Sony
239#2907,3.6,239,2907,AirisPhotostar3702,AirisPhotostar3702
73#3551,3.6,73,3551,CX3,RICOH
7#1106,3.614821429,7,1106,DSLR-A350,Sony
24#1281,3.619961977,24,1281,FinePixF31fd,FUJIFILM
24#3158,3.628571429,24,3158,FinePixF650,FUJIFILM
3#176,3.648403159,3,176,iPhone3GS,apple
5#3535,3.655,5,3535,GT-S8500L,SAMSUNG
5#1973,3.659910402,5,1973,SHV-E250K,SAMSUNG
7#958,3.66078532,7,958,DSC-WX9,Sony
15#36,3.663038558,15,36,HTCOne,HTC
50#414,3.663414634,50,414,DiMAGEA2,KonicaMinoltaCameraInc.
73#3131,3.665909091,73,3131,CaplioR3,RICOH
7#477,3.685829741,7,477,DSC-WX10,Sony
5#1578,3.69,5,1578,GT-I9100T,SAMSUNG
24#1119,3.693889845,24,1119,FinePixF30,FUJIFILM
41#3028,3.695517241,41,3028,ALPHA-7DIGITAL,KONICAMINOLTA
5#2140,3.711936773,5,2140,SGH-I337M,SAMSUNG
73#1496,3.715873016,73,1496,GRDIGITAL3,RICOH
24#1629,3.72,24,1629,FinePixS4000,FUJIFILM
5#1584,3.724484175,5,1584,SC-06D,SAMSUNG
24#2717,3.726304348,24,2717,FinePixS3Pro,FUJIFILM
7#737,3.74637931,7,737,DSLR-A330,Sony
5#273,3.769504586,5,273,SPH-L710,SAMSUNG
19#3659,3.782986111,19,3659,DROID2GLOBAL36900001ffd8000,Motorola
24#2297,3.78487395,24,2297,FinePixS6000fd,FUJIFILM
24#3899,3.785,24,3899,FinePixJX300,FUJIFILM
27#1587,3.795915845,27,1587,231,Hipstamatic
5#1929,3.804817708,5,1929,SCH-I939,SAMSUNG
24#375,3.822291667,24,375,FinePixF480,FUJIFILM
19#3500,3.82421875,19,3500,DROIDX2d700000fff00000015a6e,Motorola
27#498,3.827628111,27,498,226,Hipstamatic
5#4016,3.828125,5,4016,SGH-T999V,SAMSUNG
51#3166,3.85,51,3166,DC-5000DigitalCamera,DigitalCamera
24#262,3.856835443,24,262,FinePixF11,FUJIFILM
5#3987,3.857584635,5,3987,SPH-L900,SAMSUNG
7#319,3.858396226,7,319,DSLR-A550,Sony
15#1199,3.869286651,15,1199,831C,HTC
137#1520,3.878947368,137,1520,KonicaDigitalCameraKD-410Z,Konica
24#947,3.879054054,24,947,FinePixS8000fd,FUJIFILM
41#2716,3.880153846,41,2716,MAXXUM5D,KONICAMINOLTA
24#918,3.882741573,24,918,FinePixE550,FUJIFILM
19#1171,3.913541667,19,1171,DROIDX,Motorola
41#581,3.914851485,41,581,DiMAGEZ3,KONICAMINOLTA
24#990,3.932913386,24,990,FinePixA900,FUJIFILM
